Price,PriceTarget,MACD,Stochastics,ATR
12.43,11.2,-0.024144512437710056,46.0122699386503,1.2300000000000004
11.2,10.67,-0.034459133377914744,20.858895705521462,1.8000000000000007
10.67,11.0,-0.06696658429048925,10.020449897750515,0.8300000000000001
11.0,10.4,-0.06698900483675255,16.768916155419227,0.6199999999999992
10.4,11.62,-0.09651831967301927,7.638888888888909,0.8300000000000001
11.62,11.79,-0.042365873591120096,49.999999999999964,1.5399999999999991
11.79,11.85,0.007542737660497539,59.629629629629584,0.5100000000000016
11.85,11.41,0.04662576579642469,74.22222222222223,0.8600000000000012
11.41,11.62,0.04720333414687142,54.666666666666686,0.7300000000000004
11.62,11.61,0.06014601237266812,63.99999999999997,0.5499999999999989
11.61,11.75,0.06782733442587546,63.55555555555554,0.33999999999999986
11.75,11.15,0.08083884202099623,66.5024630541872,0.35999999999999943
11.15,10.4,0.0507317368185152,36.94581280788179,0.8699999999999992
10.4,10.76,-0.01833013432222809,0.0,1.450000000000001
10.76,10.12,-0.04173519495411346,24.827586206896523,0.7600000000000016
10.12,9.71,-0.09681856407149089,0.0,1.4499999999999993
9.71,9.15,-0.15752191344436672,0.0,0.7400000000000002
9.15,8.76,-0.23005939104017778,0.0,1.1999999999999993
8.76,8.68,-0.29732927759962124,0.0,1.9100000000000001
8.68,7.53,-0.3379957574522491,0.0,0.9199999999999999
7.53,8.09,-0.4298419640366903,0.0,1.4699999999999998
8.09,8.46,-0.43972096033178737,13.270142180094778,1.9400000000000004
8.46,8.32,-0.40389890342731066,22.037914691943143,0.8599999999999994
8.32,8.54,-0.3711536977116224,18.72037914691943,0.5899999999999999
8.54,9.46,-0.31672240212644975,23.9336492890995,0.5
9.46,8.97,-0.2005088809888037,53.31491712707184,2.360000000000001
8.97,8.71,-0.14090467540613316,44.58204334365327,1.1100000000000012
8.71,8.61,-0.1071371428134762,36.532507739938104,0.7300000000000004
8.61,8.11,-0.08150857663523603,41.69884169884168,0.7000000000000011
8.11,7.97,-0.0900716432677593,26.605504587155917,0.8000000000000007
7.97,8.46,-0.09740623104797874,22.797927461139864,0.6799999999999997
8.46,8.1,-0.059679535611956935,48.18652849740934,0.9900000000000011
8.1,7.54,-0.05062449255784973,29.533678756476647,0.4900000000000002
7.54,7.5,-0.07603613994639735,0.5181347150258955,0.8300000000000001
7.5,7.8,-0.08845308738015256,0.0,0.47999999999999954
7.8,7.33,-0.06735218531965537,15.306122448979576,0.6800000000000006
7.33,7.52,-0.07736212299139011,0.0,0.6200000000000001
7.52,8.87,-0.06244089696806909,8.920187793427203,0.5299999999999994
8.87,8.75,0.051489055149885554,72.30046948356801,1.9099999999999993
8.75,10.0,0.12777033230018875,86.5853658536585,0.6500000000000004
10.0,9.34,0.2718194523724281,100.0,1.5500000000000007
9.34,9.46,0.3235778836343577,75.28089887640449,0.8300000000000001
9.46,9.79,0.36350786768748805,79.77528089887643,0.75
9.79,9.35,0.40831809326698365,92.13483146067412,0.6999999999999993
9.35,9.35,0.40001508667044966,75.65543071161046,0.8600000000000012
9.35,9.5,0.3853285455812787,75.65543071161046,0.4400000000000013
9.5,9.32,0.3768403441593406,81.27340823970037,0.6400000000000006
9.32,9.38,0.3490834750607638,74.53183520599252,0.40000000000000036
9.38,9.89,0.32531618368053644,76.77902621722849,0.19000000000000128
9.89,10.04,0.3368194980839263,95.8801498127341,0.6799999999999997
10.04,10.6,0.3467875973184864,100.0,0.6800000000000015
10.6,10.16,0.38421401244222,100.0,1.0700000000000003
10.16,9.97,0.36801243226158004,76.21621621621622,1.0399999999999991
9.97,11.09,0.331938095800144,50.78125000000005,0.4900000000000002
11.09,12.08,0.3761979065520956,99.99999999999999,1.5
12.08,13.35,0.4659938576755136,100.00000000000001,1.5099999999999998
13.35,14.58,0.60453730246056,100.0,2.3200000000000003
14.58,13.79,0.769507625000136,100.0,1.450000000000001
13.79,14.0,0.8025051140589896,84.98098859315587,1.58
14.0,14.21,0.8120203845016097,88.97338403041826,0.9900000000000002
14.21,13.42,0.8037542089425025,92.96577946768062,0.8900000000000006
13.42,12.73,0.7107183150168513,77.69230769230768,1.17
12.73,12.49,0.5672208279099548,60.5543710021322,1.8200000000000003
12.49,12.48,0.42429404363067846,54.66377440347071,1.1899999999999995
12.48,11.12,0.3023189613478573,54.4468546637744,0.9399999999999995
11.12,11.98,0.10195050840163267,24.945770065075894,1.950000000000001
11.98,12.41,0.011637562300111148,43.600867678958785,2.119999999999999
12.41,12.72,-0.029012646337735704,37.82234957020058,1.1100000000000012
12.72,14.01,-0.04191182346643363,46.24277456647402,0.5099999999999998
14.01,13.85,0.035466368889118804,83.52601156069363,1.6799999999999997
13.85,13.8,0.07005022987424436,78.90173410404624,0.8399999999999999
13.8,13.84,0.08116179130384438,86.73139158576053,0.41999999999999993
13.84,13.81,0.08172900739635858,88.02588996763751,0.5700000000000003
13.81,13.95,0.06973064709569532,87.05501618122976,0.5
13.95,14.03,0.06136753455327515,97.92387543252593,0.28000000000000114
14.03,14.5,0.05146210169409793,100.0,0.3899999999999988
14.5,14.49,0.06870135290274715,100.0,0.8199999999999985
14.49,14.45,0.07002248567214076,99.70414201183434,0.5899999999999999
14.45,13.97,0.057845439630455964,98.52071005917158,0.33000000000000007
13.97,14.15,0.004906479342239312,78.96825396825399,0.9000000000000004
14.15,15.8,-0.027739893845203478,83.25358851674643,0.46999999999999886
15.8,17.73,0.060468938995501986,100.0,1.9399999999999995
17.73,18.73,0.2511078835479845,100.00000000000001,2.210000000000001
18.73,18.45,0.4408754180366099,100.0,3.41
